,id,listed_on
0,24582388,2023-10-24
1,24803990,2023-11-08
2,24555610,2023-11-16
3,23916510,2023-11-13
4,24591662,2023-11-08
5,24773679,2023-10-31
6,24610936,2023-11-17
7,24368933,2023-10-30
8,24231014,2023-11-12
9,24796382,2023-11-12
10,24438453,2023-11-07
11,24808558,2023-11-11
12,24744770,2023-11-10
13,19377004,2023-11-10
14,24727462,2023-10-24
15,24476068,2023-11-10
16,24785652,2023-10-30
17,24583327,2023-11-16
18,24783913,2023-11-07
19,24530680,2023-11-12
20,24153893,2023-11-16
21,24811094,2023-11-13
22,24669205,2023-11-13
23,24766338,2023-11-10
24,24516531,2023-11-03
25,24240839,2023-11-14
26,24794901,2023-11-16
27,24057024,2023-11-16
28,24811651,2023-11-13
29,24314043,2023-11-11
30,23394667,2023-10-30
31,24750027,2023-11-11
32,24744855,2023-11-12
33,24694086,2023-11-17
34,17946771,2023-11-10
35,24221673,2023-10-31
36,24319981,2023-11-16
37,24811626,2023-11-13
38,23528327,2023-11-15
39,24646177,2023-10-30
40,24530161,2023-11-16
41,24731447,2023-10-17
42,24749725,2023-11-12
43,24708053,2023-10-17
44,24813898,2023-11-17
45,24666884,2023-11-09
46,24790923,2023-11-16
47,24786635,2023-11-12
48,24691441,2023-10-30
49,24536631,2023-11-09
50,24744269,2023-11-12
51,24623935,2023-11-17
52,24653271,2023-11-03
53,24794034,2023-11-03
54,24443701,2023-11-08
55,24775373,2023-10-24
56,24384621,2023-11-07
57,24480059,2023-10-30
58,24796137,2023-11-13
59,24667352,2023-11-02
60,24810559,2023-11-12
61,24795023,2023-11-13
62,24210047,2023-10-31
63,24050581,2023-11-16
64,24744253,2023-11-12
65,21758135,2023-10-28
66,24750616,2023-11-12
67,24622132,2023-10-24
68,19301748,2023-11-13
69,24718204,2023-11-12
70,24614515,2023-11-11
71,24773208,2023-11-08
72,24436641,2023-11-16
73,24775763,2023-11-16
74,22010739,2023-10-30
75,24080231,2023-11-02
76,24208899,2023-11-08
77,24529506,2023-11-12
78,24729324,2023-11-13
79,24731597,2023-11-17
80,24583845,2023-11-17
81,24691591,2023-10-30
82,24770035,2023-11-17
83,24754585,2023-10-31
84,24625049,2023-11-14
85,24566887,2023-11-15
86,24635419,2023-11-13
87,24809256,2023-11-11
88,24789980,2023-11-16
89,24299976,2023-11-13
90,24529341,2023-11-10
91,24766067,2023-11-14
92,24808555,2023-11-11
93,24634619,2023-11-17
94,24569230,2023-11-13
95,24692692,2023-11-13
96,24507069,2023-11-12
97,23637340,2023-11-17
98,24775348,2023-10-24
